Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh,Elspot Prices in NOK/MWh
Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021,Data was last updated 29-04-2021
Unnamed: 0_level_2,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
01-01-2021,00 - 01,25840.0,26059.0,26059.0,26059.0,26059.0,26059.0,53131.0,53131.0,26059.0,26059.0,26059.0,24827.0,24827.0,19479.0,26059.0,26059.0,26059.0,,,,,
01-01-2021,01 - 02,25359.0,25432.0,25432.0,25432.0,25432.0,25432.0,50332.0,50332.0,25432.0,25432.0,25432.0,23949.0,23949.0,19437.0,25432.0,25432.0,25432.0,,,,,
01-01-2021,02 - 03,24962.0,25046.0,25046.0,25046.0,25046.0,25046.0,46666.0,46666.0,25046.0,25046.0,25046.0,24733.0,24733.0,19395.0,25046.0,25046.0,25046.0,,,,,
01-01-2021,03 - 04,24659.0,24774.0,24774.0,24774.0,24774.0,24774.0,44828.0,44828.0,24774.0,24774.0,24774.0,24680.0,24680.0,19395.0,24774.0,24774.0,24774.0,,,,,
01-01-2021,04 - 05,24712.0,24785.0,24785.0,24785.0,24785.0,24785.0,42185.0,42185.0,24785.0,24785.0,24785.0,24764.0,24764.0,19416.0,24785.0,24785.0,24785.0,,,,,
01-01-2021,05 - 06,25129.0,25129.0,25129.0,25129.0,25129.0,25129.0,41987.0,41987.0,25129.0,25129.0,25129.0,24952.0,24952.0,19500.0,25129.0,25129.0,25129.0,,,,,
01-01-2021,06 - 07,25516.0,25526.0,25526.0,25526.0,25526.0,25526.0,41392.0,41392.0,25526.0,25526.0,25526.0,25443.0,25443.0,19542.0,25526.0,25526.0,25526.0,,,,,
01-01-2021,07 - 08,26007.0,26038.0,26038.0,26038.0,26038.0,26038.0,41872.0,41872.0,26038.0,26038.0,26038.0,26038.0,26038.0,19343.0,26038.0,26038.0,26038.0,,,,,
01-01-2021,08 - 09,26017.0,26007.0,26007.0,26007.0,26007.0,26007.0,43104.0,43104.0,26007.0,26007.0,26007.0,26007.0,26007.0,19448.0,26007.0,26007.0,26007.0,,,,,
01-01-2021,09 - 10,26372.0,26184.0,26184.0,26184.0,26184.0,26184.0,46875.0,46875.0,26184.0,26184.0,26184.0,26184.0,26184.0,19636.0,26184.0,26184.0,26184.0,,,,,
01-01-2021,10 - 11,27072.0,26769.0,26769.0,26769.0,31354.0,26769.0,47000.0,47000.0,26769.0,26769.0,26769.0,26769.0,26769.0,19782.0,31354.0,31354.0,31354.0,,,,,
01-01-2021,11 - 12,27573.0,27072.0,27072.0,27072.0,38791.0,27072.0,49298.0,49298.0,27072.0,27072.0,27072.0,27072.0,27072.0,19845.0,38791.0,38791.0,38791.0,,,,,
01-01-2021,12 - 13,28200.0,27291.0,27291.0,27291.0,40786.0,27291.0,53037.0,53037.0,27291.0,27291.0,27291.0,27291.0,27291.0,23897.0,40786.0,40786.0,40786.0,,,,,
01-01-2021,13 - 14,28513.0,27751.0,27751.0,27751.0,42394.0,27751.0,47512.0,47512.0,27751.0,27751.0,27751.0,27751.0,27751.0,27751.0,42394.0,42394.0,42394.0,,,,,
01-01-2021,14 - 15,29307.0,28513.0,28513.0,28513.0,42603.0,28513.0,46718.0,46718.0,28513.0,28513.0,28513.0,28513.0,28513.0,28513.0,42603.0,42603.0,42603.0,,,,,
01-01-2021,15 - 16,30749.0,29882.0,29882.0,29882.0,47491.0,29882.0,48661.0,48661.0,29882.0,29882.0,29882.0,29882.0,29882.0,29882.0,47491.0,47491.0,47491.0,,,,,
01-01-2021,16 - 17,35866.0,31595.0,31595.0,31595.0,54019.0,31595.0,55345.0,55345.0,30655.0,30655.0,30655.0,31595.0,31595.0,31595.0,54019.0,54019.0,54019.0,,,,,
01-01-2021,17 - 18,41590.0,31532.0,31532.0,31532.0,57852.0,31532.0,62939.0,62939.0,30602.0,30602.0,30602.0,31532.0,31532.0,31532.0,57852.0,57852.0,57852.0,,,,,
01-01-2021,18 - 19,36117.0,30101.0,30101.0,30101.0,55366.0,30101.0,63304.0,63304.0,30101.0,30101.0,30101.0,30101.0,30101.0,30101.0,55366.0,55366.0,55366.0,,,,,
01-01-2021,19 - 20,31898.0,29506.0,29506.0,29506.0,58218.0,29506.0,63043.0,63043.0,29506.0,29506.0,29506.0,29506.0,29506.0,29506.0,58218.0,58218.0,58218.0,,,,,
01-01-2021,20 - 21,29976.0,28534.0,28534.0,28534.0,57382.0,28534.0,59951.0,59951.0,28534.0,28534.0,28534.0,28534.0,28534.0,28534.0,57382.0,57382.0,57382.0,,,,,
01-01-2021,21 - 22,29547.0,28179.0,28179.0,28179.0,53079.0,29506.0,56254.0,56254.0,28179.0,28179.0,28179.0,26101.0,26101.0,26101.0,53079.0,53079.0,53079.0,,,,,
01-01-2021,22 - 23,28221.0,27615.0,27615.0,27615.0,47230.0,28211.0,55826.0,55826.0,27615.0,27615.0,27615.0,23939.0,23939.0,23939.0,47230.0,47230.0,47230.0,,,,,
01-01-2021,23 - 00,26853.0,26780.0,26780.0,26780.0,26780.0,26780.0,51930.0,51930.0,26780.0,26780.0,26780.0,22779.0,22779.0,22779.0,26780.0,26780.0,26780.0,,,,,
02-01-2021,00 - 01,26665.0,26727.0,26727.0,26727.0,26727.0,26727.0,48765.0,48765.0,26727.0,26727.0,26727.0,23009.0,23009.0,20315.0,26727.0,26727.0,26727.0,,,,,
02-01-2021,01 - 02,25944.0,26017.0,26017.0,26017.0,26017.0,26017.0,44316.0,44316.0,26017.0,26017.0,26017.0,23072.0,23072.0,20262.0,26017.0,26017.0,26017.0,,,,,
02-01-2021,02 - 03,25767.0,25840.0,25840.0,25840.0,25840.0,25840.0,42916.0,42916.0,25840.0,25840.0,25840.0,22978.0,22978.0,20231.0,25840.0,25840.0,25840.0,,,,,
02-01-2021,03 - 04,25714.0,25756.0,25756.0,25756.0,25756.0,25756.0,41778.0,41778.0,25756.0,25756.0,25756.0,23009.0,23009.0,20294.0,25756.0,25756.0,25756.0,,,,,
02-01-2021,04 - 05,25787.0,25819.0,25819.0,25819.0,25819.0,25819.0,39219.0,39219.0,25819.0,25819.0,25819.0,23072.0,23072.0,20335.0,25819.0,25819.0,25819.0,,,,,
02-01-2021,05 - 06,26028.0,26028.0,26028.0,26028.0,26028.0,26028.0,40734.0,40734.0,26028.0,26028.0,26028.0,24607.0,24607.0,20367.0,26028.0,26028.0,26028.0,,,,,
02-01-2021,06 - 07,26842.0,26759.0,26759.0,26759.0,31386.0,26759.0,43961.0,43961.0,26759.0,26759.0,26759.0,25495.0,25495.0,20367.0,31386.0,31386.0,31386.0,,,,,
02-01-2021,07 - 08,27647.0,27354.0,27354.0,27354.0,27354.0,27354.0,46958.0,46958.0,27354.0,27354.0,27354.0,26884.0,26884.0,20941.0,27354.0,27354.0,27354.0,,,,,
02-01-2021,08 - 09,28681.0,29265.0,29265.0,29265.0,45225.0,29265.0,50604.0,50604.0,27887.0,27887.0,27887.0,27020.0,27020.0,21704.0,45225.0,45225.0,45225.0,,,,,
02-01-2021,09 - 10,29297.0,28879.0,28879.0,28879.0,49977.0,28879.0,54311.0,54311.0,28085.0,28085.0,28085.0,28085.0,28085.0,23719.0,49977.0,49977.0,49977.0,,,,,
02-01-2021,10 - 11,30143.0,30111.0,30111.0,30111.0,53006.0,30111.0,54311.0,54311.0,28931.0,28931.0,28931.0,28931.0,28931.0,27250.0,53006.0,53006.0,53006.0,,,,,
02-01-2021,11 - 12,30320.0,31083.0,31083.0,31083.0,53163.0,31083.0,54468.0,54468.0,29339.0,29339.0,29339.0,31083.0,31083.0,31083.0,53163.0,53163.0,53163.0,,,,,
02-01-2021,12 - 13,30195.0,29892.0,29892.0,29892.0,56139.0,29892.0,58437.0,58437.0,29077.0,29077.0,29077.0,29892.0,29892.0,29892.0,56139.0,56139.0,56139.0,,,,,
02-01-2021,13 - 14,30132.0,29997.0,29997.0,29997.0,53006.0,29997.0,54311.0,54311.0,29077.0,29077.0,29077.0,29997.0,29997.0,29997.0,53006.0,53006.0,53006.0,,,,,
02-01-2021,14 - 15,30592.0,30174.0,30174.0,30174.0,51679.0,38363.0,52943.0,52943.0,29151.0,29151.0,29151.0,30174.0,30174.0,30174.0,51679.0,51679.0,51679.0,,,,,
02-01-2021,15 - 16,31877.0,41506.0,41506.0,41506.0,54479.0,48097.0,55826.0,55826.0,29328.0,29328.0,29328.0,41506.0,41506.0,37120.0,54479.0,54479.0,54479.0,,,,,
02-01-2021,16 - 17,45924.0,61497.0,61497.0,61497.0,61497.0,61497.0,62657.0,62657.0,30132.0,30132.0,30132.0,61497.0,61497.0,36566.0,61497.0,61497.0,61497.0,,,,,
