,dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,dew_point,wind_gust,weather,visibility
0,1577836800,2020-01-01 00:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,277.99,272.96,275.37,280.37,1010,,,87,5.0,190,0.5,,,,100,500.0,Rain,light rain,10n,,,,
1,1577840400,2020-01-01 01:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,278.72,272.95,277.04,280.37,1009,,,86,6.2,250,1.25,,,,90,500.0,Rain,light rain,10n,,,,
2,1577844000,2020-01-01 02:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,279.27,271.71,278.222,280.15,1008,,,70,8.2,240,0.87,,,,90,500.0,Rain,light rain,10n,,,,
3,1577847600,2020-01-01 03:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,279.9,267.58,278.671,281.15,1008,,,65,14.9,260,,,,,90,804.0,Clouds,overcast clouds,04n,,,,
4,1577851200,2020-01-01 04:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,280.04,270.26,278.808,281.15,1008,,,65,11.3,270,,,,,90,804.0,Clouds,overcast clouds,04n,,,,
5,1577854800,2020-01-01 05:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,279.97,267.66,278.83799999999997,281.15,1008,,,65,14.9,270,,,,,90,804.0,Clouds,overcast clouds,04n,,,,
6,1577858400,2020-01-01 06:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,279.97,271.58,278.671,281.15,1008,,,65,9.3,250,,,,,90,804.0,Clouds,overcast clouds,04n,,,,
7,1577862000,2020-01-01 07:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,280.08,271.01,278.438,281.15,1008,,,65,10.3,250,,,,,75,803.0,Clouds,broken clouds,04n,,,,
8,1577865600,2020-01-01 08:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,280.08,272.13,278.42400000000004,281.15,1008,,,65,8.7,260,,,,,75,803.0,Clouds,broken clouds,04n,,,,
9,1577869200,2020-01-01 09:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,280.15,271.44,278.342,281.15,1008,,,65,9.8,260,,,,,75,803.0,Clouds,broken clouds,04d,,,,
10,1577872800,2020-01-01 10:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,280.27,270.04,278.122,281.15,1007,,,61,11.8,260,,,,,75,803.0,Clouds,broken clouds,04d,,,,
11,1577876400,2020-01-01 11:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,280.14,276.43,278.613,281.48,1007,,,64,2.6,200,,,,,20,801.0,Clouds,few clouds,02d,,,,
12,1577880000,2020-01-01 12:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,280.15,275.04,277.878,282.04,1006,,,64,4.6,190,,,,,20,801.0,Clouds,few clouds,02d,,,,
13,1577883600,2020-01-01 13:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,280.6,274.41,277.295,282.04,1005,,,70,6.53,252,,,,,20,801.0,Clouds,few clouds,02d,,,,
14,1577887200,2020-01-01 14:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,281.3,273.95,277.015,282.59,1005,,,57,7.7,250,,,,,40,802.0,Clouds,scattered clouds,03n,,,,
15,1577890800,2020-01-01 15:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,281.7,275.1,277.268,283.15,1004,,,57,6.7,240,,,,,75,803.0,Clouds,broken clouds,04n,,,,
16,1577894400,2020-01-01 16:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,281.75,272.99,277.973,283.15,1004,,,57,9.8,250,,,,,40,802.0,Clouds,scattered clouds,03n,,,,
17,1577898000,2020-01-01 17:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,280.99,271.21,278.592,282.32099999999997,1005,,,61,11.3,260,,,,,90,804.0,Clouds,overcast clouds,04n,,,,
18,1577901600,2020-01-01 18:00:00 +0000 UTC,3600.0,Gloshaugen,63.42,10.4,280.67,270.67,278.749,282.15,1005,,,66,11.8,270,,,,,75,803.0,Clouds,broken clouds,04n,,,,
